Ball Speed,Ball Horizontal Line,Ball Length,Batsman Position,Ideal Shot
103.70861069626262,middle stump,full pitched,0,Drive Straight
155.56428757689247,leg stump,full pitched,1,Drive On
135.87945476302644,off stump,good length,1,Back-Foot Drive
123.8792635777333,leg stump,good length,0,Leg Glance
84.04167763981928,middle stump,good length,1,Drive Cover
84.03950683025823,middle stump,full pitched,1,Sweep
75.22752509513795,middle stump,full pitched,0,Sweep
147.95585311974418,middle stump,good length,0,Lofted On Drive
124.1003510568888,leg stump,full pitched,1,Lofted Drive On
133.7265320016441,off stump,good length,1,Back-Foot Drive
71.85260448662223,leg stump,good length,0,Leg Glance
157.2918866945795,off stump,good length,1,Back-Foot Drive
144.91983767203794,middle stump,yorker,0,Straight Drive
89.11051996104486,off stump,full pitched,0,Drive Off
86.36424704863906,middle stump,short pitched,1,Upper Cut
86.50640588680905,leg stump,good length,0,Leg Glance
97.38180186635839,off stump,short pitched,0,Cut
117.22807884690141,leg stump,yorker,0,Leg Glance
108.87505167779042,middle stump,full pitched,0,Drive Straight
96.21062261782377,leg stump,good length,0,Leg Glance
125.06676052501416,middle stump,good length,1,Late Cut
82.55444745868377,middle stump,good length,0,Upper Cut
96.29301836816964,middle stump,short pitched,0,Late Cut
102.97256589643226,leg stump,yorker,0,Leg Glance
111.04629857953324,leg stump,full pitched,1,Lofted Drive On
140.66583652537122,off stump,yorker,0,Block Shot Forward
87.97064039425237,off stump,good length,0,Square Cut
116.28109945722505,leg stump,yorker,0,Leg Glance
123.31731119758382,leg stump,short pitched,0,Pull Shot
74.1805371447998,leg stump,bouncer,1,Pull Shot
124.67903667112945,leg stump,bouncer,1,Pull Shot
85.34717113185624,middle stump,full pitched,0,Slog
75.85464336867516,middle stump,full pitched,1,Slog
155.3996983528,middle stump,yorker,1,Straight Drive
156.90688297671034,leg stump,full pitched,1,Drive On
142.7557613304815,middle stump,short pitched,0,Hook Shot
97.41523922560336,middle stump,good length,0,Drive Cover
78.79049026057454,off stump,good length,0,Square Cut
131.58097238609412,off stump,yorker,0,Block Shot Forward
109.61372443656413,middle stump,good length,0,Drive Cover
80.9834411360301,middle stump,yorker,0,Straight Drive
114.56592191001431,middle stump,full pitched,1,Drive Straight
73.09496690036966,leg stump,full pitched,1,Drive On
151.83883618709038,off stump,short pitched,1,Cut
93.29019834400152,off stump,good length,1,Square Cut
129.6270055918584,off stump,short pitched,1,Cut
98.05399684804698,middle stump,bouncer,0,Pull Shot
116.80612190600297,leg stump,short pitched,0,Pull Shot
119.20392514089517,off stump,yorker,1,Block Shot Forward
86.63690099729743,off stump,yorker,0,Block Shot Forward
157.26261649881027,leg stump,short pitched,0,Pull Shot
139.7619541025003,middle stump,full pitched,0,Drive Straight
154.55490474077703,middle stump,bouncer,0,Hook Shot
150.53446153848842,off stump,short pitched,0,Cut
123.81099809299766,off stump,full pitched,1,Drive Off
152.96868115208053,leg stump,short pitched,1,Pull Shot
77.96432518467276,off stump,good length,1,Square Cut
87.63845761772306,leg stump,yorker,0,Leg Glance
74.07045600194843,off stump,good length,0,Square Cut
99.27972976869378,off stump,good length,0,Square Cut
