                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3414,                 1.8259,                 1.1927,                0.16155,                0.57609,                0.12985,                0.07443,                 1.3374,                 9.4563,                 1.8125,             0.00066071,             0.00066071,             0.00066071
                      2,                 1.4628,                 1.2889,                 1.2855,                0.48813,                0.34783,                0.31468,                0.19555,                  1.525,                 2.8888,                 1.7993,              0.0012748,              0.0012748,              0.0012748
                      3,                 1.5076,                 1.2813,                 1.3004,                0.56811,                 0.6413,                0.62398,                0.38838,                 1.4493,                 1.8662,                 1.7367,              0.0018361,              0.0018361,              0.0018361
                      4,                 1.4606,                 1.1451,                  1.258,                0.62339,                0.51087,                0.53351,                 0.3531,                 1.3003,                 1.8083,                 1.5307,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.4172,                  1.112,                 1.2478,                 0.8589,                0.72783,                0.81496,                0.57248,                 1.0856,                 1.0947,                 1.3183,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.3794,                 1.0666,                 1.2384,                0.93602,                0.79509,                0.90215,                0.68669,                0.96747,                0.84009,                 1.2916,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.3296,                0.92778,                 1.2081,                0.91688,                0.83935,                0.89686,                0.68441,                0.94395,                0.86627,                 1.1826,               0.001604,               0.001604,               0.001604
                      8,                 1.2828,                0.92204,                 1.1735,                 0.8979,                0.78261,                0.85924,                0.67244,                0.91488,                0.83565,                 1.2114,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.2851,                0.89122,                 1.1722,                0.88268,                 0.8587,                0.92017,                0.73148,                 0.8133,                0.72794,                  1.075,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.2508,                0.88582,                  1.149,                0.85938,                0.84783,                0.91529,                0.71381,                0.81693,                0.70268,                 1.0855,              0.0013664,              0.0013664,              0.0013664
                     11,                   1.21,                0.82396,                 1.1329,                0.86116,                 0.8913,                0.93723,                0.72069,                0.85025,                0.66333,                 1.1041,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.1883,                0.79079,                 1.1256,                0.88748,                0.85731,                0.92866,                0.73248,                0.84934,                0.65597,                 1.0992,               0.001208,               0.001208,               0.001208
                     13,                 1.1576,                0.75706,                 1.1077,                0.92587,                0.95041,                0.96752,                0.76421,                0.79858,                0.56015,                 1.0709,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.1525,                0.73491,                 1.1051,                0.88365,                0.90812,                0.93037,                0.76324,                0.76252,                 0.5673,                 1.0587,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.0926,                0.68174,                 1.0748,                0.90288,                0.93478,                0.97014,                0.78189,                0.75933,                0.51094,                 1.0376,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.1513,                 0.6618,                  1.099,                0.96046,                0.88043,                0.96668,                0.80862,                0.68388,                0.47797,                0.99067,              0.0008912,              0.0008912,              0.0008912
                     17,                   1.13,                0.62167,                 1.0985,                 0.9863,                0.91304,                0.97346,                0.78496,                0.76577,                0.47344,                 1.0375,               0.000812,               0.000812,               0.000812
                     18,                  1.138,                0.61057,                 1.0946,                 0.9761,                0.88779,                0.97104,                0.78777,                0.72136,                0.45598,                 0.9997,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.0894,                0.60713,                 1.0834,                      1,                0.91636,                0.97313,                0.80646,                0.71792,                0.42398,                0.99283,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.0835,                0.57229,                 1.0826,                  0.977,                 0.9234,                0.97661,                0.82863,                0.67104,                0.40329,                 0.9638,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.0509,                0.55007,                 1.0591,                 0.9882,                0.91068,                0.97358,                0.82663,                0.64563,                0.38923,                0.94662,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.0371,                0.53108,                 1.0521,                0.99832,                0.93478,                 0.9734,                0.85379,                0.63517,                0.37821,                0.94674,               0.000416,               0.000416,               0.000416
                     23,                 1.0439,                0.54977,                  1.062,                0.98644,                0.91304,                0.97044,                0.84334,                0.62338,                0.40495,                0.93194,              0.0003368,              0.0003368,              0.0003368
                     24,                0.99517,                0.50357,                 1.0247,                0.96713,                0.95934,                0.97556,                0.82858,                 0.6493,                0.36997,                0.94263,              0.0002576,              0.0002576,              0.0002576
                     25,                0.96697,                0.47554,                 1.0062,                0.97583,                0.94565,                0.98107,                0.83416,                0.61215,                  0.353,                0.92223,              0.0001784,              0.0001784,              0.0001784
